DATA,PM10,co,no2,Coletor
18/05/1997,68508,2555,86822,Patrícia M.
19/05/1997,89022,5625,142265,Patrícia M.
20/05/1997,97534,56671,17361,Patrícia M.
21/05/1997,83655,499,128422,Patrícia M.
22/05/1997,57398,47571,85513,Patrícia M.
23/05/1997,46015,30914,75623,Patrícia M.
24/05/1997,40832,25657,6965,Patrícia M.
25/05/1997,27584,21643,63648,Patrícia M.
26/05/1997,57061,31643,126513,Patrícia M.
27/05/1997,62071,408,123163,Patrícia M.
28/05/1997,56925,463,93358,Patrícia M.
29/05/1997,26068,35357,50398,Patrícia M.
30/05/1997,30139,22417,76015,Patrícia M.
31/05/1997,40348,17414,65315,Magno Filho
01/06/1997,36697,18214,63245,José Silveira
02/06/1997,55647,29333,10894,Patrícia M.
03/06/1997,94481,47367,263738,Magno Filho
04/06/1997,76791,45633,99026,Magno Filho
05/06/1997,50119,53017,116136,Magno Filho
06/06/1997,49438,38733,83924,Magno Filho
07/06/1997,40001,34433,73198,Magno Filho
08/06/1997,39089,26183,65806,Magno Filho
09/06/1997,70492,32767,1651,Magno Filho
10/06/1997,93601,50533,197754,Magno Filho
11/06/1997,10032,59029,198013,Magno Filho
12/06/1997,62301,59,9864,Magno Filho
13/06/1997,98207,69129,233888,Magno Filho
14/06/1997,51818,55929,70735,Magno Filho
15/06/1997,26649,27971,50135,Magno Filho
16/06/1997,39219,34129,8495,José Silveira
17/06/1997,6667,52214,95665,José Silveira
18/06/1997,78975,46557,122525,José Silveira
19/06/1997,73343,44943,159142,José Silveira
20/06/1997,6189,66883,10524,José Silveira
21/06/1997,61948,58957,82792,José Silveira
22/06/1997,52478,49257,7321,José Silveira
23/06/1997,66561,442,14036,José Silveira
24/06/1997,68869,54386,109957,José Silveira
25/06/1997,104533,63129,165477,Patrícia M.
26/06/1997,84055,58886,12922,Patrícia M.
27/06/1997,68881,44086,117908,Patrícia M.
28/06/1997,48419,34443,103207,Patrícia M.
29/06/1997,37816,34729,91468,Patrícia M.
30/06/1997,36307,25657,97215,Patrícia M.
01/07/1997,48633,29986,80288,Carlos F.
02/07/1997,73087,52543,128737,Carlos F.
03/07/1997,76176,62714,102668,Carlos F.
04/07/1997,77469,60443,10389,Carlos F.
05/07/1997,49072,30833,68956,Carlos F.
06/07/1997,60571,55086,93508,Carlos F.
07/07/1997,88018,58171,20318,Carlos F.
08/07/1997,75884,27114,127882,Carlos F.
09/07/1997,90038,50829,12496,Carlos F.
10/07/1997,123753,71714,197505,Carlos F.
11/07/1997,102706,76229,169213,Carlos F.
12/07/1997,69534,26757,114825,Carlos F.
13/07/1997,64483,478,112817,Carlos F.
14/07/1997,105808,67771,158795,Carlos F.
15/07/1997,147408,77257,256608,Carlos F.
16/07/1997,141655,84071,154898,Carlos F.
17/07/1997,129638,75186,268765,Carlos F.
18/07/1997,66744,31729,97188,Carlos F.
19/07/1997,74961,557,104833,Carlos F.
20/07/1997,97178,75229,103375,Carlos F.
21/07/1997,59059,37686,87123,Carlos F.
22/07/1997,57236,351,110227,Carlos F.
23/07/1997,56497,305,83377,Carlos F.
24/07/1997,46959,21271,76888,Carlos F.
25/07/1997,51331,22857,89534,Carlos F.
26/07/1997,53974,19814,103272,Carlos F.
27/07/1997,82355,45957,175628,Carlos F.
28/07/1997,13224,778,218022,Carlos F.
29/07/1997,145888,83971,241665,Carlos F.
30/07/1997,121795,79186,261512,Carlos F.
31/07/1997,103952,67429,162868,Magno Filho
01/08/1997,147259,80329,244417,José Silveira
02/08/1997,14815,94543,240343,José Silveira
03/08/1997,106487,36814,125113,José Silveira
04/08/1997,59158,36333,114758,José Silveira
05/08/1997,26879,20343,70467,José Silveira
06/08/1997,49602,23757,114278,José Silveira
07/08/1997,72233,52057,138953,Magno Filho
08/08/1997,30158,44971,70853,Magno Filho
09/08/1997,26222,16071,63092,Magno Filho
10/08/1997,3248,167,61348,Magno Filho
11/08/1997,55688,343,192358,Magno Filho
12/08/1997,91812,46043,239195,Magno Filho
13/08/1997,8609,40529,174798,Magno Filho
14/08/1997,84432,3785,179497,Magno Filho
15/08/1997,111227,81867,212593,Magno Filho
16/08/1997,121726,101414,170458,Magno Filho
17/08/1997,123306,114429,181198,Magno Filho
18/08/1997,99497,68429,155752,Magno Filho
19/08/1997,97834,69486,167905,Magno Filho
20/08/1997,102022,71114,152728,Magno Filho
21/08/1997,95109,39829,155172,Magno Filho
22/08/1997,92098,38857,191698,Magno Filho
23/08/1997,52441,38117,108383,Magno Filho
24/08/1997,29449,37467,71907,Magno Filho
25/08/1997,40437,20786,9576,Magno Filho
26/08/1997,52875,24786,13163,Magno Filho
27/08/1997,77113,368,167585,Magno Filho
28/08/1997,9522,44586,164228,Magno Filho
29/08/1997,107661,44414,21908,Magno Filho
30/08/1997,110963,40586,215895,Magno Filho
31/08/1997,90646,48214,15934,Magno Filho
01/09/1997,108549,53486,383575,José Silveira
02/09/1997,120765,682,39956,José Silveira
03/09/1997,132792,56371,252735,José Silveira
04/09/1997,152976,71871,300632,José Silveira
05/09/1997,97191,49233,191612,José Silveira
06/09/1997,45955,38514,90858,José Silveira
07/09/1997,59144,26886,110707,José Silveira
08/09/1997,10365,83429,191117,José Silveira
09/09/1997,150489,95586,188527,José Silveira
10/09/1997,50485,59014,118914,José Silveira
11/09/1997,3441,17943,7239,José Silveira
12/09/1997,70961,41833,133568,José Silveira
13/09/1997,113717,43357,125287,José Silveira
14/09/1997,49659,37429,80158,José Silveira
15/09/1997,31075,25343,84325,José Silveira
16/09/1997,49359,18157,7468,José Silveira
17/09/1997,57112,297,180442,José Silveira
18/09/1997,50922,24967,77163,José Silveira
19/09/1997,58824,24567,120113,José Silveira
20/09/1997,49925,27367,137544,José Silveira
21/09/1997,26588,2824,78437,José Silveira
22/09/1997,31229,2556,74465,José Silveira
23/09/1997,51678,2866,10432,José Silveira
24/09/1997,65747,42,148682,José Silveira
25/09/1997,6389,399,144078,José Silveira
26/09/1997,30816,266,75146,José Silveira
27/09/1997,31636,24217,6204,José Silveira
28/09/1997,43714,29633,99775,José Silveira
29/09/1997,50599,36467,1893,José Silveira
30/09/1997,42955,28333,114677,José Silveira
01/10/1997,50017,4894,137082,José Silveira
02/10/1997,38517,3685,913,José Silveira
03/10/1997,31633,19786,69593,José Silveira
04/10/1997,53426,26257,111988,José Silveira
05/10/1997,60812,30029,99533,José Silveira
06/10/1997,47041,344,8819,José Silveira
07/10/1997,33326,20686,64242,José Silveira
08/10/1997,3652,26257,69013,José Silveira
09/10/1997,64078,38643,138105,José Silveira
10/10/1997,91945,54971,199203,Carlos F.
11/10/1997,63475,47829,113353,Carlos F.
12/10/1997,73376,27786,9492,Carlos F.
13/10/1997,74875,32214,202022,Carlos F.
14/10/1997,60325,24114,111342,Carlos F.
15/10/1997,74832,37914,15223,Carlos F.
